*añ	*a
*iñ	*i
Yann	Iann
a-raok	araog
a-walc'h	avoualc'h
aet	eat
alies	aliez
amzer	amser
an	ann
atav	atao
bardon	bardoun
betek	beteg
bev	beo
bevañ	beva
bezañ	beza
brav	brao
braventez	braoentez
bremañ	brema
brezhoneg	brezounek
c'halon	c'haloun
c'hell	ell
c'hoazh	c'hoaz
c'hwi	c'houi
chom	jomm
deoc'h	d'heoc'h
deomp	d'heomp
deus	deuz
dezhañ	d'ezhan
dezho	d'ezho
digalon	digaloun
diskouez	diskuez
diskouezet	diskuezet
div	diou
diwar	divar
dorn	dourn
e-pad	epad
ebet	hebet
en	enn
ennañ	ennhan
enno	ennho
eur	heur
eus	euz
evito	evitho
fardon	fardoun
galon	galoun
gantañ	ganthan
gantho	ganto
ganti	ganthi
graet	great
gwech	gueach
gwel	guel
gwelit	guelit
gwell	guell
gwellañ	guella
gwelloc'h	guelloc'h
gwinizh	guiniz
gwir	guir
gwirion	guirion
gêr	gear
hiziv	hirio
ivez	ive
kaer	kear
kalon	kaloun
kalz	kals
kentañ	kenta
kompren	koumpren
kozh	koz
lakaet	lakeat
lec'h	leac'h
levr	leor
levrioù	leoriou
liv	liou
marv	maro
mat	mad
mignon	mignoun
n'eus	n'euz
nemetañ	nemethan
oa	ioa
on	oun
ouzh	ouz
ouzhpenn	ouspenn
pardon	pardoun
pegen	peger
pelec'h	peleac'h
penaos	penaoz
person	persoun
piv	piou
poaniañ	poania
ret	red
sarmon	sarmoun
siwazh	siouaz
skouer	skuer
soñj	sounj
soñjal	sounjal
triwec'h	triouec'h
ul	eul
un	eunn
ur	eur
vat	vad
vezañ	veza
vignon	vignoun
war	var
wech	veach
ya	ia
yaouank	iaouank
yec'hed	iec'hed
zorn	zourn
zoñj	zounj
